Quarter,Category,Budget,Actual,Variance,Variance_Pct
Q1,Revenue,4200000,4385000,185000,4.4
Q1,COGS,1680000,1710000,-30000,-1.8
Q1,Marketing,630000,612000,18000,2.9
Q1,R&D,840000,978000,-138000,-16.4
Q1,G&A,525000,518000,7000,1.3
Q1,Net_Income,525000,567000,42000,8.0
Q2,Revenue,4500000,4692000,192000,4.3
Q2,COGS,1800000,1845000,-45000,-2.5
Q2,Marketing,675000,658000,17000,2.5
Q2,R&D,900000,1117000,-217000,-24.1
Q2,G&A,562000,554000,8000,1.4
Q2,Net_Income,563000,518000,-45000,-8.0
Q3,Revenue,4800000,5064000,264000,5.5
Q3,COGS,1920000,1988000,-68000,-3.5
Q3,Marketing,720000,695000,25000,3.5
Q3,R&D,960000,1274000,-314000,-32.7
Q3,G&A,600000,589000,11000,1.8
Q3,Net_Income,600000,518000,-82000,-13.7
