Week,Department,Tickets_Opened,Tickets_Resolved,Avg_Resolution_Hours,SLA_Breach_Count,Customer_Satisfaction
Week 1,Support,142,138,4.2,3,3.8
Week 1,Engineering,87,79,12.5,2,3.5
Week 1,Sales Ops,63,61,6.1,1,3.9
Week 1,Infrastructure,95,89,8.3,4,3.6
Week 2,Support,156,151,3.9,2,3.9
Week 2,Engineering,94,82,14.8,3,3.4
Week 2,Sales Ops,58,56,5.8,1,4.0
Week 2,Infrastructure,101,91,9.1,6,3.5
Week 3,Support,148,146,3.6,1,4.1
Week 3,Engineering,103,84,18.2,5,3.2
Week 3,Sales Ops,61,59,5.5,1,4.1
Week 3,Infrastructure,108,94,10.4,8,3.3
Week 4,Support,161,158,3.3,1,4.3
Week 4,Engineering,112,88,22.6,7,3.0
Week 4,Sales Ops,55,54,5.2,0,4.2
Week 4,Infrastructure,119,99,11.7,11,3.1
Week 5,Support,153,152,3.1,0,4.5
Week 5,Engineering,121,89,27.4,10,2.7
Week 5,Sales Ops,59,58,4.9,0,4.3
Week 5,Infrastructure,127,102,13.2,14,2.9
