Month,Region,Product_Line,Revenue,Units_Sold,Avg_Deal_Size
January,North,Electronics,482000,185,2605
January,North,Software,215000,310,694
January,North,Services,98000,42,2333
January,South,Electronics,187000,74,2527
January,South,Software,143000,198,722
January,South,Services,67000,29,2310
January,East,Electronics,224000,91,2462
January,East,Software,178000,256,695
January,East,Services,72000,31,2323
January,West,Electronics,198000,79,2506
January,West,Software,162000,231,701
January,West,Services,81000,35,2314
February,North,Electronics,521000,198,2631
February,North,Software,228000,325,702
February,North,Services,112000,46,2435
February,South,Electronics,171000,69,2478
February,South,Software,131000,185,708
February,South,Services,61000,26,2346
February,East,Electronics,237000,95,2495
February,East,Software,184000,261,705
February,East,Services,84000,35,2400
February,West,Electronics,209000,83,2518
February,West,Software,170000,240,708
February,West,Services,93000,39,2385
March,North,Electronics,568000,213,2667
March,North,Software,241000,338,713
March,North,Services,129000,51,2529
March,South,Electronics,158000,64,2469
March,South,Software,119000,170,700
March,South,Services,54000,23,2348
March,East,Electronics,251000,100,2510
March,East,Software,192000,270,711
March,East,Services,97000,40,2425
March,West,Electronics,221000,87,2540
March,West,Software,179000,249,719
March,West,Services,108000,44,2455
